Module Code,Title,Credits
AH4005,INTRODUCTION TO PUBLIC HUMANITIES ,12
AH8001,INTRODUCTION TO DOCTORAL STUDIES IN AHSS ,6
AH8002,INTERNATIONAL PHD IN ARTS AND HUMANITIES ,12
AH8003,PROFESSIONAL DEVELOPMENT FOR AHSS PHD ,9
AH8007,PROFESSIONAL PORTFOLIO 1 ,12
AH8010,PROFESSIONAL PORTFOLIO 2 ,12
AH8013,CRITICAL APPROACHES TO DISPLAY AND PARTICIPATION ,9
AS2202,INTRODUCTION TO SPANISH LANGUAGE 2 ,3
AS2301,INTRODUCTION TO SPANISH LANGUAGE 1 ,3
AW4001,ACADEMIC LITERACIES 1 ,6
AW4002,ACADEMIC LITERACIES 2 ,6
AW4006,PEER-TUTORING IN ACADEMIC WRITING ,6
AW6001,ACADEMIC LITERACIES FOR INTERNATIONAL ,3
AW6002,THESIS WRITING ,3
AW6012,ACADEMIC LITERACIES FOR INTERNATIONAL ,3
BA4001,Test ,6
BR4002,BROADENING: ENGLISH AS WE SPEAK IT IN IRELAND ,6
BR4011,BROADENING FOR BETTER FUTURES: SCIENCE AND ,6
BR4012,BROADENING: COMMUNICATION ACROSS CULTURES ,6
BR4022,BROADENING MODULE: THE EUROPEAN UNION: ,6
BR4101,BROADENING THROUGH PLACEMAKING ,6
BR4901,BROADENING: BEGINNERS JAPANESE ,6
BR4911,BROADENING: BEGINNERS FRENCH ,6
BR4921,BROADENING: BEGINNERS GERMAN ,6
BR4931,BROADENING: BEGINNERS SPANISH ,6
BR4941,BROADENING: ADVANCED FRENCH ,6
BR4951,BROADENING: ADVANCED GERMAN ,6
BR4961,BROADENING: ADVANCED SPANISH ,6
BR5103,AUTUMN PRACTICUM (AHSS - 3 CREDITS) ,3
BR5104,SPRING PRACTICUM (AHSS - 9 CREDITS) ,9
CN4003,BEGINNER'S CHINESE (MANDARIN) ,6
CN4006,INTERMEDIATE CHINESE (MANDARIN) ,6
CU4001,INTRODUCTION TO LITERATURE ,6
CU4002,THE AGE OF ENLIGHTENMENT ,6
CU4003,ROMANTICISM ,6
CU4004,THE RISE OF THE MODERN NOVEL ,6
CU4005,WOMEN'S NARRATIVES OF FORMATION ,6
CU4006,TRAVEL LITERATURE ,6
CU4007,POPULAR GENRES AND POSTMODERNISM ,6
CU4008,POSTCOLONIAL LITERATURES ,6
CU4011,COMPARATIVE LITERATURE: CRIME FICTION AS CRITICAL ,6
CU4012,BRITISH RENAISSANCE LITERATURE ,6
CU4013,PREPARATION FOR EXTERNAL STUDY AND WORK ,6
CU4014,ANALYSING MEDIA DISCOURSE ,6
CU4016,FINAL YEAR PROJECT 1 ,12
CU4017,FINAL YEAR PROJECT 2 ,12
CU4018,EUROPEAN CINEMA FROM THE 1960s TO THE PRESENT ,6
CU4021,"CULTURE, COMMUNICATION AND INTERCOMPREHENSION ",6
CU4023,TAKING ACTION; CAMPAIGNING FOR SOCIAL JUSTICE ,6
CU4026,HOW TO READ A FILM: INTRODUCTION TO FILM STUDIES ,6
CU4027,VISUAL CULTURAL STUDIES ,6
CU4028,TRAVEL LITERATURE ,6
CU4037,EUROPEAN CINEMA FROM ITS BEGINNINGS TO THE 1950s ,6
CU4047,DIGITAL CULTURE AND COMMUNICATION FINAL YEAR ,6
CU4048,DIGITAL CULTURE AND COMMUNICATIONS FINAL YEAR ,6
CU4092,SENSIBILITY AND ROMANTICISM ,6
CU4093,VICTORIAN TEXTS AND CONTEXTS ,6
CU4094,LITERARY MODERNISM ,6
CU4095,IRISH LITERARY REVIVAL ,6
CU4096,AFTER THE REVIVAL: STUDIES IN MODERN IRISH POETRY ,6
CU4097,20TH CENTURY LITERATURE IN ENGLISH ,6
CU4098,CONTEMPORARY IRISH LITERATURE ,6
CU4112,CULTURAL STUDIES 2: LANGUAGE AND CULTURE ,6
CU4116,CULTURAL STUDIES 4: CULTURAL THEORY ,6
CU4118,EUROPEAN CINEMA ,6
CU4121,INTRODUCTION TO NEW MEDIA AND CULTURAL STUDIES ,6
CU4127,CULTURAL STUDIES 5: COMPARATIVE LITERATURE ,6
CU4128,"NEW MEDIA, LANGUAGE AND GLOBALISATION ",6
CU6001,CULTURAL THEORY ,9
CU6002,TEXTUAL CONSTRUCTIONS OF CULTURAL IDENTITY ,9
CU6003,DISSERTATION 2 ,21
CU6011,LANGUAGE AND CULTURE ,9
CU6012,UTOPIAN THEORY AND TEXTS ,9
CU6021,CULTURE AND THE MARKET ,9
CU6022,DISSERTATION 1 ,9
CU6031,COMPARATIVE LITERATURE: CULTURAL CONSTRUCTIONS OF ,9
CU6032,"THESIS WRITING: LANGUAGE, LITERARY AND CULTURAL ",3
CU6041,LITERATURE OF MIGRATION ,9
CU6051,LITERARY AND CULTURAL THEORY ,9
CW4001,WELL BEING ACROSS THE LIFESPAN ,15
CW4002,EMPOWERMENT AND LIFE SKILLS ,12
CW4003,ACTIVE LIVING ,15
CW4004,LEADING AND SUSTAINING COMMUNITY CHANGE ,15
CW4011,PERSONAL DEVELOPMENT ,15
DT4007,DRAMA AND THEATRE STUDIES FINAL YEAR PROJECT 1 ,6
DT4008,DRAMA AND THEATRE STUDIES FINAL YEAR PROJECT 2 ,6
EC6702,ECONOMIC POLICIES OF THE EUROPEAN UNION ,9
EF6001,ENGLISH AS A FOREIGN LANGUAGE 1 ,9
EF6002,ENGLISH AS A FOREIGN LANGUAGE 2 ,9
EF8002,ENGLISH AS A MEDIUM OF INSTRUCTION 1: PROFESSIONAL ,6
EF8012,ENGLISH AS A MEDIUM OF INSTRUCTION 2: WRITTEN ,6
EH2001,ENGLISH LANGUAGE FOR STUDY PURPOSES 1 ,6
EH2002,ENGLISH LANGUAGE FOR STUDY PURPOSES 2 ,6
EH2011,WRITNG SKILLS FOR ACADEMIC STUDY ,3
EH2012,APPLIED COMMUNICATION SKILLS ,3
EH2021,STUDY STRATEGIES AND TECHNIQUES 1 ,3
EH2022,STUDY STRATEGIES AND TECHNIQUES 2 ,3
EH2031,BUSINESS COMMUNICATION 1 ,6
EH2032,BUSINESS COMMUNICATION 2 ,6
EH2110,ENGLISH FOR ACADEMIC PURPOSES 1 ,6
EH2120,ENGLISH FOR ACADEMIC PURPOSES 2 ,6
EH3002,ACADEMIC ENGLISH 2 ,6
EH4001,CRITICAL PRACTICE 1: ACADEMIC READING AND WRITING ,6
EH4002,CRITICAL PRACTICE 2 - RENAISSANCE LITERATURE ,6
EH4003,INTRODUCTION TO LITERARY THEORY ,6
EH4006,VICTORIAN TEXTS AND CONTEXTS ,6
EH4007,LITERARY MODERNISM ,6
EH4008,BRITISH LITERATURE SINCE 1945 ,6
EH4011,EARLY MODERN LITERATURE ,6
EH4012,RESTORATION AND AUGUSTAN LITERATURE ,6
EH4013,SENSIBILITY AND ROMANTICISM ,6
EH4016,STATE OF THE UNION: AMERICAN LITERATURE SINCE 1890 ,6
EH4017,CONTEMPORARY AFRICAN LITERATURE IN ENGLISH ,6
EH4018,CONTEMPORARY IRISH LITERATURE ,6
EH4022,ENGLISH LITERATURE 2: EARLY MODERN POETRY AND ,6
EH4023,THE NEW WORLD: AMERICAN LITERATURE TO 1890 ,6
EH4026,COLONIAL/POSTCOLONIAL LITERATURE IN ENGLISH ,6
EH4027,CONTEMPORARY WOMEN'S WRITING ,6
EH4028,STUDY OF A MAJOR IRISH AUTHOR ,6
EH4033,AFTER THE REVIVAL: STUDIES IN MODERN IRISH POETRY ,6
EH4036,IRISH LITERATURE 1930 - 1990 ,6
EH4037,INTRODUCTION TO CREATIVE WRITING ,6
EH4038,STUDY OF A MAJOR AUTHOR ,6
EH4043,IRISH LITERARY REVOLUTIONS 1880 - 1930 ,6
EH4046,OLD AND MIDDLE ENGLISH LITERATURE: TEXTS AND ,6
EH4047,ENGLISH FINAL YEAR PROJECT 1 ,6
EH4048,ENGLISH FINAL YEAR PROJECT 2 ,6
EH4053,AUGUSTAN AND ROMANTIC LITERATURE ,6
EH4063,AUGUSTAN AND ROMANTIC LITERATURE ,6
EH4073,DRAMA: MEDIEVAL AND EARLY MODERN ,6
EH4102,INTRODUCTION TO LITERATURE ,6
EH4103,RENAISSANCE ENGLISH LITERATURE ,6
EH4104,AUGUSTAN LITERATURE ,6
EH4105,NINETEENTH CENTURY STUDIES ,6
EH4108,TWENTIETH CENTURY ENGLISH LITERATURE ,6
EH4111,THE IRISH LITERARY REVIVAL ,6
EH4116,CONTEMPORARY IRISH WRITING IN ENGLISH ,6
EH4118,LITERARY THEORY ,6
EH4121,GOTHIC LITERATURE IN IRELAND ,6
EH4125,FEMINIST LITERARY THEORY ,6
EH4126,IMAGINED SPACES: IRISH CULTURAL TEXTS ,6
EH4131,COMPOSITION AND RHETORIC ,6
EH4135,"YEATS, HEANEY AND THE POLITICS OF IRISH IDENTITY ",6
EH4141,ENGLISH LITERATURE 1: NOVELS AND SHORT FICTION ,6
EH4145,AMERICAN LITERATURE ,6
EH4158,FROM JAMES JOYCE TO MAEVE BRENNAN: 20TH CENTURY ,6
EH4168,MODERN IRISH POETRY: AFTER YEATS ,6
EH4900,CREATIVE WRITING: SHORT FICTION ,6
EH4903,REPRESENTATIONS OF IRISH MYTHS AND LEGENDS ,6
EH6001,APPLIED WRITING AND EDITING SKILLS ,3
EH6002,RESEARCH METHODS IN LITERARY AND CULTURAL STUDIES ,9
EH6003,DISSERTATION (MA IN ENGLISH) ,30
EH6011,LITERARY MODERNISM ,9
EH6012,POLITICS AND AMERICAN LITERATURE ,9
EH6013,DISSERTATION IN CREATIVE WRITING ,30
EH6021,GENDER AND SEXUALITY IN IRISH WRITING ,9
EH6022,POT-COLONIAL THEORY AND LITERATURE ,9
EH6031,"LITERATURE, FILM AND HUMAN RIGHTS ",9
EH6032,ISSUES IN MODERN AND CONTEMPORARY POETRY ,9
EH6041,CRITICAL IRISH STUDIES 1: CORE ISSUES AND TEXTS ,9
EH6042,FEMINIST LITERARY THEORY ,9
EH6051,CREATIVE WRITING I ,9
EH6052,"THEORETICAL APPROACHES TO GENDER, CULTURE AND ",9
EH6053,PUBLIC FICTION AND PRIVATE LIFE: READING AND ,9
EH6061,PROJECT DEVELOPMENT FOR CREATIVE WRITERS 1 ,6
EH6062,IRISH AMERICAS IN LITERATURE AND CULTURE ,9
EH6071,ADVANCED EDITING: CREATING A LITERARY JOURNAL ,3
EH6072,SITUATING IRISH GOTHIC ,9
EH6081,ADVANCED EDITING: CREATING A LITERARY JOURNAL 1 ,3
EH6082,CREATIVE WRITING II ,9
EH6092,RESEARCH METHODS IN CREATIVE WRITING ,3
EH6102,ELEMENTS OF NARRATIVE AND DRAMA ,9
EH6112,INDIVIDUAL CREATIVE WRITING PROJECT ,6
EH6122,ADVANCED EDITING: CREATING A LITERARY JOURNAL 2 ,3
EH6132,PRINCIPLES OF STORYTELLING FOR CREATIVE WRITERS ,6
EH6142,CREATIVE WRITERS IN THE COMMUNITY ,9
EI5011,THE THEORY AND METHODOLOGY OF THE STUDY OF ,9
EI5032,DISSERTATION ,30
EI5042,CENTRAL AND EASTERN EUROPE ,9
EL5002,PROFESSIONAL WRITING ,6
EL5003,LEARNING DESIGN ,6
EL5012,WORKPLACE COMMUNICATION SKILLS ,6
EL5023,INFORMATION DESIGN ,6
EL6003,E-LEARNING DESIGN AND DEVELOPMENT PROJECT ,30
EL6011,INSTRUCTIONAL DESIGN 1 ,9
EL6013,MA IN TECHNICAL COMMUNICATION AND E-LEARNING ,30
EL6021,INTERACTIVE COURSEWARE DESIGN AND DELIVERY ,9
EL6022,INTERACTIVE COURSEWARE DESIGN AND DELIVERY ,9
EL6031,INTERACTIVE COURSEWARE PROJECT 1 ,15
EL6032,INTERACTIVE COURSEWARE PROJECT 2 ,15
EL6041,INSTRUCTIONAL DESIGN ,9
EL6042,SEMINAR SERIES: ISSUES IN E-LEARNING ,3
EL6052,E-LEARNING THEORIES AND PRACTICES ,9
EL6062,INNOVATIVE LEARNING AND COMMUNICATION ,9
EL6072,INTERACTIVE COURSEWARE WORKSHOP ,9
EL6082,LEARNING AND COLLABORATION TECHNOLOGIES ,3
ES4001,EUROPEAN STUDIES: A GLOBAL PERSPECTIVE ,6
ES4002,EUROPEAN STUDIES WORKSHOP ,6
ES6004,MA DISSERTATION ,30
FR4009,FRENCH LITERATURE 1 ,6
FR4015,FRENCH LANGUAGE AND CULTURE (ADVANCED) ,6
FR4019,FRENCH LITERATURE 2 ,9
FR4029,FRENCH SOCIETY 1 ,6
FR4039,FRENCH SOCIETY 2 ,9
FR4141,FRENCH LANGUAGE AND SOCIETY 1: INTRO FRENCH ,6
FR4142,FRENCH LANGUAGE AND SOCIETY 2: INTRODUCTION TO FRE ,6
FR4143,FRENCH LANGUAGE AND SOCIETY 3 EDUCATION AND WORK ,6
FR4146,FRENCH LANGUAGE AND SOCIETY 4 MODERN ,6
FR4147,"FRENCH LANGUAGE AND SOCIETY 5 FRANCE, EUROPE AND B ",6
FR4148,FRENCH LANGUAGE AND SOCIETY 6 MEDIA/CURRENT ,6
FR4241,"FRENCH LANGUAGE, CULTURE AND SOCIETY 1 ",6
FR4242,"FRENCH LANGUAGE, CULTURE AND SOCIETY 2A ",6
FR4243,FRENCH LANGUAGE CULTURE AND SOCIETY 3 ,6
FR4246,FRENCH LANGUAGE CULTURE AND SOCIETY 4 ,6
FR4247,FRENCH LANGUAGE CULTURE AND SOCIETY 5 ,6
FR4248,FRENCH LANGUAGE CULTURE AND SOCIETY 6 ,6
FR4421,FRENCH FOR ENGINEERS 1A ,6
FR4422,FRENCH FOR ENGINEERS 2A ,6
FR4423,FRENCH FOR ENGINEERS 3A ,6
FR4621,FRENCH LITERATURE AND CULTURE 1: 20TH CENTURY ,6
FR4622,LITERATURE AND CULTURE 2: TWENTIETH-CENTURY ,6
FR4623,FRENCH LITERATURE AND CULTURE 3 THE ENLIGHTENMENT ,6
FR4626,FRENCH LITERATURE AND CULTURE 4 19TH CENTURY ART ,6
FR4627,FRENCH LITERATURE AND CULTURE 5: INTELLECTUAL ,6
FR4628,FRENCH LITERATURE AND CULTURE 6: MODERNITY AND ,6
FR4807,FRANCE AND EUROPE ,6
FR4808,FRENCH LANGUAGE AND LITERATURE 1 ,6
FR4818,FRENCH LANGUAGE AND LITERATURE 2 ,6
FR4921,FRENCH FOR BUSINESS 1A ,6
FR4922,FRENCH FOR BUSINESS 2A ,6
FR4923,FRENCH FOR BUSINESS 3A ,6
FR4924,FRENCH FOR BUSINESS 4A ,6
