Module Code,Title,Credits
AC2001,INTRODUCTION TO ACCOUNTING AND FINANCE ,6
AC2002,INTRODUCTION TO ACCOUNTING ,6
AC2003,ACCOUNTING FOR FINANCIAL DECISION MAKING WITHIN ,6
AC2012,ACCOUNTING FOR FINANCIAL DECISION MAKING ,6
AC2914,ACCOUNTING FOR FINANCIAL DECISION MAKING ,6
AC3001,INTRODUCTION TO ACCOUNTING ,6
AC3002,HEALTH SECTOR FINANCE ,6
AC3003,INTRODUCTION TO ACCOUNTING ,6
AC3012,BUSINESS INTELLIGENCE FOR DECISION MAKING ,6
AC4000,CORPORATE SOCIAL RESPONSIBILITY ,6
AC4001,PRINCIPLES OF ACCOUNTING ,6
AC4002,MANAGERIAL ACCOUNTING ,6
AC4003,FINANCIAL REPORTING AND ANALYSIS ,9
AC4004,ACCOUNTING FOR AUDITING AND FRAMEWORKS ,6
AC4007,ADVANCED FINANCIAL REPORTING ,6
AC4008,CORPORATE GOVERNANCE AND GROUPS ,6
AC4014,INTERMEDIATE ACCOUNTING 1 ,6
AC4018,CORPORATE TRANSPARENCY AND BUSINESS ETHICS ,6
AC4024,FINANCIAL ACCOUNTING AND REPORTING ,6
AC4034,AUDITING AND ACCOUNTING FRAMEWORKS ,6
AC4213,FINANCIAL ACCOUNTING ,6
AC4214,ACCOUNTING FOR FINANCIAL DECISION MAKING ,6
AC4305,FINANCIAL INFORMATION ANALYSIS ,6
AC4407,INTERMEDIATE ACCOUNTING 2 ,6
AC4417,MANAGEMENT ACCOUNTING 1 ,6
AC4418,MANAGEMENT ACCOUNTING 2 ,6
AC4901,PRINCIPLES OF ACCOUNTING (by Flexible Learning) ,6
AC4902,MANAGERIAL ACCOUNTING ,6
AC4906,CORPORATE SOCIAL RESPONSIBILITY ,9
AC4907,FINANCIAL INFORMATION ANALYSIS ,6
AC5001,FINANCIAL ACCOUNTING ,6
AC5002,FINANCIAL REPORTING ,9
AC5011,MANAGEMENT AND COST ACCOUNTING ,6
AC5012,PERFORMANCE MANAGEMENT ,9
AC6003,Dissertation 2 ,6
AC6011,Financial Information Analysis ,6
AC6013,DISSERTATION A ,15
AC6023,DISSERTATION B ,15
AC6042,Dissertation 1 ,6
AC6051,FINANCIAL REPORTING ,6
AC6052,CORPORATE FINANCE ,6
AC6061,FINANCIAL ANALYSIS AND GOVERNANCE ,6
AC6062,FINANCIAL ISSUES FOR SMALL AND MEDIUM ENTERPRISES ,3
AC6081,DECISION MAKING AND FINANCIAL MANAGEMENT IN ,6
AC6091,FINANCIAL MANAGEMENT AND DECISION MAKING FOR ,6
AC6111,FINANCIAL MANAGEMENT AND DECISION MAKING ,6
AM6001,AIR TRANSPORT CHARACTERISTICS ,6
AM6013,AIRLINE AND GROUND OPERATIONS ,3
AM6023,AIRPORT BUSINESS ,3
AM6036,AIRLINE SIMULATION AND PLANNING ,3
AS2381,INTRODUCTION TO ECONOMICS ,6
AS2382,INTRODUCTION TO ACCOUNTING AND FINANCE ,6
BR4031,BROADENING BY UNDERSTANDING AND CONFRONTING ,6
BR4041,BROADENING: SOCIAL MEDIA FOR SOCIAL GOOD ,6
BR4051,BROADENING THROUGH CREATIVITY AND PROACTIVITY ,6
BS4001,PRINCIPLES OF INTERNATIONAL BUSINESS ,6
BS4007,INTERNATIONAL BUSINESS CONFIRMATION PAPER 1 ,6
BS4008,INTERNATIONAL BUSINESS CONFIRMATION PAPER 2 ,6
BS4405,FINAL YEAR PROJECT METHODOLOGY ,6
BS4406,PROJECT PROPOSAL - INSURANCE AND EUROPEAN STUDIES ,6
BS4407,BUSINESS PROJECT A ,6
BS4408,BUSINESS PROJECT B ,6
BS4416,INSURANCE AND EUROPEAN STUDIES PROJECT 1 ,6
BS4418,INSURANCE AND EUROPEAN STUDIES PROJECT 2 ,12
BS4447,FINAL YEAR PROJECT 1 (LAW AND ACCOUNTING) ,6
BS4448,FINAL YEAR PROJECT 2 (LAW AND ACCOUNTING) ,6
BS4901,ICT AND UL ORIENTATION WORKSHOP ,6
BS4902,PROJECT ,12
BS6004,EXECUTIVE MBA PROJECT A ,6
BS6005,EXECUTIVE MBA PROJECT B ,9
BS6102,CORPORATE MBA PROJECT A ,6
BS6122,BUSINESS NEGOTIATIONS ,3
BS6306,CORPORATE MBA PROJECT/THESIS B ,9
CB5021,FORENSIC ACCOUNTING AND FINANCIAL REPORTS ,9
CM2011,THE COMMUNICATION PROCESS AND INFORMATION TECH ,6
CM2012,STRUCTURING AND PRESENTING INFORMATION ,6
CM3001,COMMUNICATION SKILLS ,9
CM4203,COMMUNICATIONS ,6
CM4901,COMMUNICATIONS ,3
CM4902,COMMUNICATIONS ,3
CM4911,COMMUNICATIONS ,6
CM6102,BUSINESS COMMUNICATION ,6
CM6901,BUSINESS COMMUNICATIONS ,6
CM8003,RESEARCH NETWORKING:DEVELOPING AN ACADEMIC ,3
EB4003,DOING BUSINESS IN EUROPE ,6
EC2001,INTRODUCTION TO ECONOMICS ,6
EC2011,UNDERSTANDING THE GENERAL ENVIRONMENT ,6
EC2021,INTRODUCTION TO ECONOMICS ,6
EC2911,MICRO-ECONOMICS ,6
EC2912,MACRO-ECONOMICS ,6
EC3001,IRISH ECONOMIC ENVIRONMENT ,6
EC3003,IRISH ECONOMIC ENVIRONMENT ,6
EC3202,ECONOMICS AND HEALTH ECONOMICS ,6
EC3601,IRISH ECONOMIC ENVIRONMENT ,6
EC4002,History of Economic Thought ,6
EC4003,Intermediate Microeconomics ,6
EC4004,ECONOMICS FOR BUSINESS ,6
EC4006,Intermediate Macroeconomics ,6
EC4013,MICROECONOMICS ,9
EC4014,INTERNATIONAL ECONOMICS ,6
EC4015,Final Year Project Economics and Mathematics A ,6
EC4016,Public Finance ,9
EC4017,Health Sector Economics ,9
EC4018,MONETARY ECONOMICS ,6
EC4023,QUANTITATIVE METHODS FOR ECONOMICS ,6
EC4024,FINANCIAL ECONOMICS ,6
EC4025,Intermediate Economics ,9
EC4027,THE EUROPEAN ECONOMY ,6
EC4034,MACROECONOMICS ,9
EC4035,ECONOMICS OF INTEGRATION ,6
EC4037,ECONOMICS FINAL YEAR PROJECT 1 ,6
EC4038,ECONOMICS FINAL YEAR PROJECT 2 ,6
EC4044,APPLIED ECONOMIC ANALYSIS ,6
EC4045,ECONOMICS OF NATURAL RESOURCES ,6
EC4055,ENVIRONMENTAL ECONOMICS ,6
EC4101,MICROECONOMICS ,6
EC4102,MACROECONOMICS ,6
EC4108,CONTEMPORARY ISSUES IN THE GLOBAL ECONOMY ,6
EC4111,MICROECONOMICS (NON BUSINESS) ,6
EC4112,MACROECONOMICS (FOR NON-BUSINESS) ,6
EC4213,INTERMEDIATE ECONOMICS (FOR NON-BUSINESS) ,6
EC4307,ECONOMETRICS ,6
EC4333,ECONOMICS OF EUROPEAN INTEGRATION ,6
EC4407,IRELAND IN THE WORLD ECONOMY ,6
EC4408,PUBLIC FINANCE ,6
EC4417,INDUSTRIAL ECONOMICS ,6
EC4418,MONETARY ECONOMICS AND INTERNATIONAL FINANCE ,6
EC4427,MANAGERIAL ECONOMICS ,6
EC4437,INTERNATIONAL POLITICAL ECONOMY ,6
EC4711,EU ECONOMIC ENVIRONMENT ,6
EC4902,MACROECONOMICS ,6
EC4904,PRINCIPLES OF ECONOMICS ,6
EC4906,INTERNATIONAL ECONOMICS ,6
EC4908,ISSUES IN THE GLOBAL ECONOMICS ENVIRONMENT ,9
EC4911,MICROECONOMICS ,6
EC4913,ECONOMICS FOR BUSINESS ,6
EC5001,INDUCTION ACADEMY ,3
EC5002,APPLIED ECONOMICS AND PUBLIC POLICY ISSUES ,9
EC5003,DECISION MAKING WITH SCARCE RESOURCES ,9
EC5004,THE GLOBAL ECONOMY ,9
EC5005,THE NATIONAL ECONOMY ,9
EC5006,CONTEMPORARY ISSUES IN ECONOMICS AND POLICY ,9
EC5007,DATA EXPLORATION & ANALYSIS ,9
EC5008,RESIDENTIAL ACADEMY ,3
EC5112,ECONOMIC APPRAISAL AND EVALUATION TECHNIQUES ,6
EC5131,ECONOMICS OF TOURISM ,6
EC6001,INTERNATIONAL POLITICAL ECONOMY ,6
EC6002,SMALL BUSINESS ECONOMICS ,6
EC6003,ECONOMICS DISSERTATION 1 ,12
EC6011,MICROECONOMIC THEORY ,6
EC6012,International Monetary Economics ,6
EC6013,ECONOMICS DISSERTATION 2 ,15
EC6021,MACROECONOMIC THEORY ,6
EC6022,GLOBALISATION AND INTERNATIONAL ECONOMIC ISSUES ,6
EC6023,INTERNATIONAL BUSINESS WORKSHOP ,3
EC6031,EVOLUTION OF ECONOMIC THEORY ,6
EC6032,BUSINESS ECONOMICS ,6
EC6033,ECONOMICS DISSERTATION 2A ,12
EC6041,DATA MANAGEMENT FOR POLICY ANALYSIS AND ,6
EC6042,AIRLINE ECONOMICS ,6
EC6051,MACROECONOMICS AND THE GLOBAL ECONOMY ,6
EC6052,INTERNATIONAL ECONOMIC ISSUES ,6
EC6061,APPLIED DATA ANALYSIS FOR ECONOMICS ,6
EC6062,APPLIED ECONOMETRICS FOR BUSINESS ,6
EC6071,PRELIMINARY MATHEMATICS AND STATISTICS FOR ,3
EC6072,THE ECONOMICS OF GLOBAL CHALLENGES ,3
EC6081,HEALTH ECONOMICS ,6
EC6082,RESEARCH DESIGN AND POLICY EVALUATION TOOLS ,6
EC6091,MACROECONOMICS FOR POLICY-MAKING ,6
EC6101,INTERNATIONAL POLITICAL ECONOMY 1 ,6
EC6111,ISSUES IN INTERNATIONAL POLITICAL ECONOMY ,6
EC6112,ECONOMETRICS ,6
EC6121,ECONOMICS FOR BUSINESS ,6
EC6122,PUBLIC FINANCE AND REGULATION ,6
EC6131,MICROECONOMICS FOR POLICY-MAKING ,6
EC6132,"INDUSTRIAL POLICY: THEORY, PRACTICE AND EVALUATION ",6
EC6142,LABOUR AND EDUCATION ECONOMICS ,6
EC6152,DISSERTATION PREPARATION ,6
EC6204,BUSINESS ECONOMICS ,6
EC6701,THEORY OF ECONOMIC INTEGRATION ,9
EP2001,ENTREPRENEURIAL LEADERSHIP ,6
EP2011,"ENTERPRISE, CREATIVITY AND INNOVATION ",6
