Module Code,Title,Credits
AE6001,CHILD AND ADOLESCENT CLINICAL PSYCHOLOGY ,3
AE6003,ADULT CLINICAL PSYCHOLOGY ,3
AE6004,CLINICAL PSYCHOTHERAPY 1 ,3
AE6005,INTELLECTUAL DISABILITIES ,3
AE6011,"RESEARCH; DESIGN, METHOD AND STATISTICS 1 ",3
AE6012,"RESEARCH: DESIGN, METHOD AND STATISTICS 2 ",3
AE6013,WORKING WITH OLDER ADULTS ,3
AE6014,CLINICAL PSYCHOTHERAPY 2 ,3
AE6015,INTELLECTUAL DISABILITY PLACEMENT ,6
AE6016,INTELLECTUAL DISABILITY PLACEMENT ,6
AE6021,CHILD AND ADOLESCENT PLACEMENT 1 ,6
AE6022,CHILD AND ADOLESCENT PLACEMENT 2 ,6
AE6023,CLINICAL NEUROPSYCHOLOGY ,3
AE6025,PERSONAL DEVELOPMENT 5 ,3
AE6031,PERSONAL DEVELOPMENT 1 ,3
AE6032,PERSONAL DEVELOPMENT 2 ,3
AE6033,PERSONAL DEVELOPMENT 3 ,3
AE6034,PERSONAL DEVELOPMENT 4 ,3
AE6043,RESEARCH 1 ,6
AE6044,RESEARCH 2 ,3
AE6046,RESEARCH 4 ,3
AE6053,ADULT MENTAL HEALTH PLACEMENT ,12
AE6054,SPECIALIST TOPICS IN CLINICAL PSYCHOLOGY ,3
AE6055,RESEARCH 3 ,6
AE6100,SPECIALIST PLACEMENT 1 ,12
AE6200,SPECIALIST PLACEMENT 2 ,12
AE6300,SPECIALIST PLACEMENT 3 ,12
AP5001,PLACEMENT - PRACTICAL EXPERIENCE IN APA ,15
AP5002,PARTICIPATION IN PRACTICE IN SPECIALISED CENTRES ,6
AP5011,DANCE PEDAGOGY AND INCLUSIVE PRACTICE ,6
AP5012,RESEARCH BASED SEMINARS RELATED TO PRACTICAL ,3
AP5022,RESEARCH PROJECT ,21
AP5032,CURRENT TRENDS AND ISSUES IN APA / APE ,3
AP5091,DISSERTATION 1 (EMMAPA) ,9
AP5092,DISSERTATION 2 (EMMAPA) ,21
BM4001,KNOWLEDGE OF HEALTH AND ILLNESS 1 ,30
BM4002,KNOWLEDGE OF HEALTH AND ILLNESS 2 ,30
BM4003,GENERAL PRACTICE / PRIMARY CARE ,24
