Module Code,Title,Credits
CB5001,MULTI AGENCY PROCEEDS OF CRIME INVESTIGATION ,9
CB5002,PROCEEDS OF CRIME INVESTIGATION - WORK BASED ,9
CB5011,DARKNET & OPEN SOURCE INTELLIGENCE INVESTIGATION ,9
CB5012,PROCEEDS OF CRIME INVESTIGATION - WORK BASED ,15
CB5031,NATIONAL AND INTERNATIONAL BEST PRACTICE IN ,9
GR8000,EXTERNAL GREP MODULE ,9
IP4310,ACADEMIC EXCHANGE 1 ,30
IP4320,ACADEMIC EXCHANGE 2 ,30
IP4330,ACADEMIC EXCHANGE 3 ,30
MQ5711,MASTERS QUALIFIER - MIC ,0
MT5000,MASTERS TAUGHT QUALIFIER ,6
NG1000,NUIG STRATEGIC ALLIANCE IDENTIFIER ,0
NG1001,NUIG STRATEGIC ALLIANCE MODULE 1 ,6
NG1002,NUIG STRATEGIC ALLIANCE MODULE 2 ,6
NG1003,NUIG STRATEGIC ALLIANCE MODULE 3 ,6
NG1004,NUIG STRATEGIC ALLIANCE MODULE 4 ,6
NG1005,NUIG STRATEGIC ALLIANCE MODULE 5 ,6
NG1006,NUIG STRATEGIC ALLIANCE MODULE 6 ,6
NG1007,NUIG STRATEGIC ALLIANCE MODULE 7 ,6
NG1008,NUIG STRATEGIC ALLIANCE MODULE 8 ,6
NG1009,NUIG STRATEGIC ALLIANCE MODULE 9 ,6
NG1010,NUIG STRATEGIC ALLIANCE MODULE 10 ,6
NG1011,NUIG STRATEGIC ALLIANCE MODULE 1 ,12
NG1101,NUIG STRATEGIC ALLIANCE MODULE 1 ,9
NG1103,NUIG STRATEGIC ALLIANCE MODULE 3 ,9
NG1201,NUIG STRATEGIC ALLIANCE MODULE 1 ,3
NG1202,NUIG STRATEGIC ALLIANCE MODULE 2 ,3
RL6001,REFLECTIVE LEARNING PORTFOLIO (MASTER OF ,3
RL6002,REFLECTIVE LEARNING PORTFOLIO (MASTER OF ,3
TL5082,PROBLEM-BASED LEARNING ,3
TL5092,RESEARCH LED TEACHING ,3
TL8003,PLANNING RESEARCH AND PUBLICATION ,3
TL8013,DEVELOPING IDEAS AND ARGUEMENTS: WRITING INTO ,3
UD8001,UCD INTER INSTITUTIONAL MODULE 1 ,6
UD8002,UCD INTER INSTITUTIONAL MODULE 2 ,6
UD8003,UCD INTER INSTITUTIONAL MODULE 3 ,6
UD8004,UCD INTER INSTITUTIONAL MODULE 4 ,6
XP1000,EXCHANGE PROGRAMME IDENTIFIER ,0
XP1001,EXCHANGE PROGRAMME MODULE 1 ,6
XP1002,EXCHANGE PROGRAMME MODULE 2 ,6
XP1003,EXCHANGE PROGRAMME MODULE 3 ,6
XP1004,EXCHANGE PROGRAMME MODULE 4 ,6
XP1005,EXCHANGE PROGRAMME MODULE 5 ,6
XP1006,EXCHANGE PROGRAMME MODULE 6 ,6
XP1007,EXCHANGE PROGRAMME MODULE 7 ,6
XP1008,EXCHANGE PROGRAMME MODULE 8 ,6
XP1009,EXCHANGE PROGRAMME MODULE 1 ,9
XP1109,EXCHANGE PROGRAMME MODULE 2 ,9
XP1207,EXCHANGE PROGRAMME MODULE 7 ,15
XP1209,EXCHANGE PROGRAMME MODULE 3 ,9
XP1309,EXCHANGE PROGRAMME MODULE 4 ,9
XP1409,EXCHANGE PROGRAMME MODULE 5 ,9
XP1509,EXCHANGE PROGRAMME MODULE 6 ,9
XP1609,EXCHANGE PROGRAMME MODULE 7 ,9
XP1709,EXCHANGE PROGRAMME MODULE 8 ,9
XP1809,EXCHANGE PROGRAMME MODULE 9 ,9
XP2101,EXCHANGE PROGRAMME MODULE 1 ,3
XP2102,EXCHANGE PROGRAMME MODULE 2 ,3
XP2107,EXCHANGE PROGRAMME MODULE 7 ,18
XP2108,EXCHANGE PROGRAMME MODULE 8 ,15
XP2201,EXCHANGE PROGRAMME MODULE 1 ,3
XP2202,EXCHANGE PROGRAMME MODULE 2 ,3
XP2203,EXCHANGE PROGRAMME MODULE 3 ,3
XP2204,EXCHANGE PROGRAMME MODULE 4 ,3
XP2205,EXCHANGE PROGRAMME MODULE 5 ,3
XP2207,EXCHANGE PROGRAMME MODULE 7 ,3
XP2208,EXCHANGE PROGRAMME MODULE 8 ,18
XP6001,EXCHANGE PROGRAMME MODULE 1 ,15
XP6002,EXCHANGE PROGRAMME MODULE 3 ,15
XP6003,EXCHANGE PROGRAMME MODULE 5 ,15
XP6004,EXCHANGE PROGRAMME MODULE 6 ,15
XP6005,EXCHANGE PROGRAMME MODULE 8 ,15
XP6006,EXCHANGE PROGRAMME MODULE 10 ,15
XP6011,EXCHANGE PROGRAMME MODULE 2 ,15
XP6012,EXCHANGE PROGRAMME MODULE 4 ,15
XP6014,EXCHANGE PROGRAMME MODULE 7 ,15
XP6015,EXCHANGE PROGRAMME MODULE 9 ,15
XP8000,EXCHANGE PROGRAMME IDENTIFIER ,0
XP8001,EXCHANGE PROGRAMME MODULE 1 ,6
XP8002,EXCHANGE PROGRAMME MODULE 2 ,6
XP8003,EXCHANGE PROGRAMME MODULE 3 ,6
XP8004,EXCHANGE PROGRAMME MODULE 4 ,6
XP8005,EXCHANGE PROGRAMME MODULE 5 ,6
XP8006,EXCHANGE PROGRAMME MODULE 6 ,3
XP8007,EXCHANGE PROGRAMME MODULE 7 ,3
